"Score","PostTypeId","ave_sentiment"
4,"2",0.138351837538119
5,"1",0.0657236373677185
2,"2",0.322156508940125
9,"2",-0.073980113498984
0,"1",0.187082869338697
14,"2",0.165484292625633
1,"2",0.148336133647858
6,"1",0.497925800527285
7,"2",0.121690548644351
27,"1",-0.139817131423022
14,"1",0.144660570539349
1,"2",0.124077186524314
4,"2",0.201995080108855
11,"2",-0.120022740596161
4,"2",0.146029528231717
7,"2",-0.00514655249725406
32,"2",-0.0852278277999269
8,"2",0.088630405750339
6,"1",0.277818123047741
7,"2",0.188942590051336
0,"5",-0.157535001069831
0,"4",-0.212132034355964
8,"2",0.0988773363550834
4,"2",0.0299764318094154
2,"1",0.0750777753895603
5,"2",-0.0527534886632894
23,"1",1.59684080610305
6,"1",0.0481303567507418
10,"2",0.0393327246255535
-2,"2",0.0486205249855657
-3,"2",0.0624062690292139
3,"2",-0.133374102627886
11,"2",0.335875785793382
21,"1",-0.160228432482077
6,"1",0.0231874960867537
7,"2",0.074703110159147
15,"1",-0.146948458761486
6,"1",0.0891524698614682
9,"1",0.119990741116271
6,"2",-0.119787503768261
7,"2",-0.119117538438648
16,"1",0.24391277928691
4,"1",-0.0622639356864164
10,"2",-0.0250775740730377
5,"2",0.0937157892652562
1,"2",0.192421577012503
6,"2",0.05791750248476
10,"1",0.143640218961797
9,"1",0
-2,"2",-0.220618376871418
9,"2",-0.0892002868553524
4,"2",-0.122229669067848
3,"2",0.32792438532657
2,"2",0.143661620993004
9,"2",-0.101247481931202
7,"2",0.166078225324435
4,"1",-0.00210639070747098
5,"2",0.253378679709272
2,"2",0.0551113473159129
7,"2",-0.169693661327431
10,"1",-0.149284183816429
10,"2",0.107504525735208
27,"2",0.044865099148344
1,"2",-0.0414075617872087
3,"2",0.0884926670427719
7,"1",0.0224022714761472
8,"2",0.241384408712816
13,"1",-0.0308919894021516
10,"2",0.267866696113102
8,"1",-0.0831476285080825
14,"2",0.153399535397453
4,"1",-0.15122325062914
-2,"2",0.120430294766184
3,"2",0.071854662806657
4,"2",0.0372313900995411
3,"2",0.114343367971117
3,"2",0.105958274966849
0,"2",-0.103950390188634
9,"2",0.377190730206682
-4,"2",0.0622469776900309
10,"1",0.0479413170482698
13,"2",0.0753667902975341
3,"1",0.146991906190772
6,"1",-0.132098340032198
2,"2",-0.130708926053061
20,"2",0.174980373545638
5,"2",0.0975978054894502
6,"1",0.347608276509122
4,"1",0.0964536521035803
3,"2",0.00165160346618286
3,"2",0.0691148726330769
6,"2",0.134481899501836
5,"2",0.0305740055416084
4,"2",0.0963086824686154
3,"2",0.226300952742407
11,"2",0.0770025592419086
9,"1",0.153382170543136
6,"2",-0.00336805618834915
12,"2",0.230143292018782
6,"2",-0.114275085137609
11,"1",-0.0728890876997427
25,"1",-0.0583459965991578
12,"2",0.118950989680402
4,"1",0.125228524486837
1,"2",-0.147620516427793
4,"2",0.296122243496506
5,"1",-0.257142857142857
10,"1",0.00665465526685508
11,"2",0.106196619428253
9,"2",0.194512305909252
4,"2",-0.0964771253985695
3,"1",0.0438011098002766
3,"1",-0.0457488750407132
7,"1",0.173845618179368
3,"2",0.0238038623401707
18,"1",-0.176336798345288
16,"1",0.0541923828240076
11,"2",0.111800538769567
22,"2",-0.016091124491984
0,"2",0.271271440820559
